Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
,,,,,,,,
04-01-2025,04-01-2025,04-02-2025,,ACH Deposit,ACH,,,"$5,000.00 "
,,,,,,,,
4/24/2025,4/24/2025,4/25/2025,NDXP,"NDXP 4/24/2025 Put $19,000.00",STC,1,$5.00 ,$499.36 
,,,,,,,,
4/24/2025,4/24/2025,4/25/2025,NDXP,"NDXP 4/24/2025 Put $19,000.00",BTO,1,$3.20 ,($320.64)
,,,,,,,,
4/24/2025,4/24/2025,4/25/2025,HOOD,HOOD 5/2/2025 Call $50.00,STC,1,$2.09 ,$208.94 
,,,,,,,,
4/23/2025,4/23/2025,4/24/2025,NDXP,"NDXP 4/23/2025 Put $18,500.00",STC,2,$3.00 ,$598.72 
,,,,,,,,
4/23/2025,4/23/2025,4/24/2025,NDXP,"NDXP 4/23/2025 Put $18,500.00",BTO,1,$1.30 ,($130.64)
,,,,,,,,
4/23/2025,4/23/2025,4/24/2025,NDXP,"NDXP 4/23/2025 Put $18,500.00",BTO,1,$9.00 ,($900.64)
,,,,,,,,
4/22/2025,4/22/2025,4/23/2025,NDXP,"Option Expiration for NDXP 4/22/2025 Put $18,050.00",OEXP,1S,,
,,,,,,,,
4/22/2025,4/22/2025,4/23/2025,NDXP,"NDXP 4/22/2025 Put $18,050.00",BTO,1,$1.00 ,($100.64)
,,,,,,,,
4/22/2025,4/22/2025,4/23/2025,SPXW,"SPXW 4/22/2025 Call $5,300.00",STC,1,$13.00 ,"$1,299.02 "
,,,,,,,,
4/22/2025,4/22/2025,4/23/2025,SPXW,"SPXW 4/22/2025 Call $5,300.00",STC,1,$17.00 ,"$1,699.02 "
,,,,,,,,
4/22/2025,4/22/2025,4/23/2025,SPXW,"SPXW 4/22/2025 Call $5,300.00",BTO,1,$2.50 ,($250.98)
,,,,,,,,
4/22/2025,4/22/2025,4/23/2025,SPXW,"SPXW 4/22/2025 Call $5,300.00",BTO,1,$5.00 ,($500.98)
,,,,,,,,
4/22/2025,4/22/2025,4/23/2025,HOOD,HOOD 5/2/2025 Call $50.00,STC,4,$0.85 ,$339.81 
,,,,,,,,
4/21/2025,4/21/2025,4/22/2025,HOOD,HOOD 5/2/2025 Call $50.00,BTO,1,$0.45 ,($45.04)
,,,,,,,,
4/21/2025,4/21/2025,4/22/2025,HOOD,HOOD 5/2/2025 Call $50.00,BTO,3,$0.45 ,($135.13)
,,,,,,,,
4/21/2025,4/21/2025,4/22/2025,HOOD,HOOD 5/2/2025 Call $50.00,BTO,1,$0.45 ,($45.04)
,,,,,,,,
4/17/2025,4/17/2025,4/21/2025,SPXW,"SPXW 4/17/2025 Put $5,300.00",STC,1,$6.50 ,$649.02 
,,,,,,,,
4/17/2025,4/17/2025,4/21/2025,SPXW,"SPXW 4/17/2025 Put $5,300.00",BTO,1,$3.00 ,($300.98)
,,,,,,,,
4/17/2025,4/17/2025,4/21/2025,SPXW,"SPXW 4/17/2025 Put $5,290.00",STC,1,$11.00 ,"$1,099.02 "
,,,,,,,,
4/17/2025,4/17/2025,4/21/2025,SPXW,"SPXW 4/17/2025 Put $5,290.00",BTO,1,$9.90 ,($990.98)
,,,,,,,,
4/16/2025,4/16/2025,4/17/2025,SPXW,"SPXW 4/16/2025 Put $5,250.00",STC,1,$12.00 ,"$1,199.02 "
,,,,,,,,
4/16/2025,4/16/2025,4/17/2025,SPXW,"SPXW 4/16/2025 Put $5,250.00",BTO,1,$10.00 ,"($1,000.98)"
,,,,,,,,
4/16/2025,4/16/2025,4/17/2025,SPXW,"SPXW 4/16/2025 Put $5,270.00",STC,1,$15.00 ,"$1,499.02 "
,,,,,,,,
4/16/2025,4/16/2025,4/17/2025,SPXW,"SPXW 4/16/2025 Put $5,270.00",BTO,1,$12.50 ,"($1,250.98)"
,,,,,,,,
4/16/2025,4/16/2025,4/17/2025,SPXW,"SPXW 4/16/2025 Put $5,320.00",STC,1,$17.00 ,"$1,699.02 "
,,,,,,,,
4/16/2025,4/16/2025,4/17/2025,SPXW,"SPXW 4/16/2025 Put $5,320.00",BTO,1,$13.00 ,"($1,300.98)"
,,,,,,,,
4/15/2025,4/15/2025,4/16/2025,SPXW,"SPXW 4/15/2025 Put $5,385.00",STC,1,$1.75 ,$174.02 
,,,,,,,,
4/15/2025,4/15/2025,4/16/2025,SPXW,"SPXW 4/15/2025 Put $5,385.00",BTO,1,$1.50 ,($150.98)
,,,,,,,,
4/15/2025,4/15/2025,4/16/2025,NDXP,"NDXP 4/15/2025 Call $19,400.00",STC,1,$0.75 ,$74.36 
,,,,,,,,
4/15/2025,4/15/2025,4/16/2025,NDXP,"NDXP 4/15/2025 Call $19,400.00",BTO,1,$4.00 ,($400.64)
,,,,,,,,
4/14/2025,4/14/2025,4/15/2025,SPXW,"Option Expiration for SPXW 4/14/2025 Call $5,450.00",OEXP,1S,,
,,,,,,,,
4/14/2025,4/14/2025,4/15/2025,SPXW,"SPXW 4/14/2025 Call $5,450.00",BTO,1,$8.00 ,($800.98)
,,,,,,,,
04-11-2025,04-11-2025,4/14/2025,NDXP,"NDXP 4/11/2025 Put $17,300.00",STC,1,$13.00 ,"$1,299.36 "
,,,,,,,,
04-11-2025,04-11-2025,4/14/2025,NDXP,"NDXP 4/11/2025 Put $17,300.00",BTO,1,$12.00 ,"($1,200.64)"
,,,,,,,,
04-10-2025,04-10-2025,04-11-2025,NDXP,"NDXP 4/10/2025 Call $18,900.00",STC,1,$10.00 ,$999.36 
,,,,,,,,
04-10-2025,04-10-2025,04-11-2025,NDXP,"NDXP 4/10/2025 Call $18,900.00",BTO,1,$7.00 ,($700.64)
,,,,,,,,
04-09-2025,04-09-2025,04-10-2025,SPXW,"Option Expiration for SPXW 4/9/2025 Put $4,850.00",OEXP,2S,,
,,,,,,,,
04-09-2025,04-09-2025,04-10-2025,SPXW,"SPXW 4/9/2025 Put $4,850.00",BTO,1,$1.00 ,($100.98)
,,,,,,,,
04-09-2025,04-09-2025,04-10-2025,SPXW,"SPXW 4/9/2025 Put $4,850.00",BTO,1,$10.00 ,"($1,000.98)"
,,,,,,,,
04-07-2025,04-07-2025,04-08-2025,SPXW,"SPXW 4/7/2025 Put $4,700.00",STC,4,$10.00 ,"$3,996.07 "
,,,,,,,,
04-07-2025,04-07-2025,04-08-2025,SPXW,"SPXW 4/7/2025 Put $4,700.00",BTO,2,$8.90 ,"($1,781.96)"
,,,,,,,,
04-07-2025,04-07-2025,04-08-2025,SPXW,"SPXW 4/7/2025 Put $4,700.00",BTO,1,$4.00 ,($400.98)
,,,,,,,,
04-07-2025,04-07-2025,04-08-2025,SPXW,"SPXW 4/7/2025 Put $4,700.00",BTO,1,$12.10 ,"($1,210.98)"
,,,,,,,,
04-07-2025,04-07-2025,04-08-2025,,ACH Deposit,ACH,,,"$10,000.00 "
,,,,,,,,
04-04-2025,04-04-2025,04-07-2025,META,Option Expiration for META 4/4/2025 Call $620.00,OEXP,1S,,
,,,,,,,,
04-04-2025,04-04-2025,04-07-2025,SPXW,"SPXW 4/4/2025 Put $5,200.00",STC,1,$33.00 ,"$3,299.02 "
,,,,,,,,
04-04-2025,04-04-2025,04-07-2025,SPXW,"SPXW 4/4/2025 Put $5,200.00",BTO,1,$26.00 ,"($2,600.98)"
,,,,,,,,
04-03-2025,04-03-2025,04-04-2025,NDXP,"NDXP 4/3/2025 Put $18,480.00",STC,1,$13.00 ,"$1,299.36 "
,,,,,,,,
04-03-2025,04-03-2025,04-04-2025,NDXP,"NDXP 4/3/2025 Put $18,480.00",BTO,1,$22.00 ,"($2,200.64)"
,,,,,,,,
04-01-2025,04-01-2025,04-02-2025,META,META 4/4/2025 Call $620.00,BTO,1,$1.18 ,($118.04)
,,,,,,,,
04-01-2025,04-01-2025,04-02-2025,NDXP,"NDXP 4/1/2025 Call $19,500.00",STC,1,$10.00 ,$999.36 
,,,,,,,,
04-01-2025,04-01-2025,04-02-2025,NDXP,"NDXP 4/1/2025 Call $19,500.00",BTO,1,$6.00 ,($600.64)
